Manama, Bahrain,                      50.59,  26.23,        2,   14.1, 20.0, 14.9, 21.2, 17.8, 24.7, 21.5, 29.2, 26.0, 34.1, 28.8, 36.4, 30.4, 37.9, 30.5, 38.0, 28.6, 36.5, 25.5, 33.1, 21.2, 27.8, 16.2, 22.3,226.3, 221.2, 238.7, 255.0, 306.9, 339.0, 331.7, 331.7, 312.0, 303.8, 261.0, 226.3
Chittagong, Bangladesh,               91.81,  22.35,       29,    14,   26,   16,   28,   20,   31,   23,   32,   25,   32,   25,   32,   25,   31,   25,   31,   25,   32,   24,   32,   20,   30,   16,   27,   264,   244,   276,   243,   227,   117,   105,   124,   167,   218,   241,   246
Bandar Seri Begawan, Brunei,         114.94,   4.90,       22,    23,   30,   23,   31,   24,   32,   24,   33,   24,   33,   23,   33,   23,   32,   23,   32,   23,   32,   23,   32,   23,   31,   23,   31,   196,   191,   225,   239,   236,   210,   222,   218,   199,   206,   205,   211
Thimphu, Bhutan,                      89.64,  27.47,     2320,    -3,   12,    1,   14,    4,   16,    7,   20,   13,   23,   15,   24,   15,   25,   16,   25,   15,   23,   10,   22,    5,   18,   -1,   15,    75,    59,   116,   171,   181,   200,   208,   216,   189,   144,   122,    76
Phnom Penh, Cambodia,                104.89,  11.54,       12,    22,   32,   23,   33,   24,   35,   26,   35,   26,   35,   25,   34,   25,   33,   25,   33,   24,   32,   24,   31,   23,   31,   22,   31,   260,   226,   267,   240,   202,   192,   143,   174,   129,   202,   213,   242
Alxa, China,                         105.73,  38.85,     1700,   -16,   -2,  -12,    3,   -5,   11,    3,   20,   10,   26,   16,   31,   19,   33,   17,   31,   11,   25,    2,   17,   -6,    8,  -13,    0,   242,   232,   272,   293,   328,   316,   312,   300,   279,   271,   240,   232
Beijing, China,                      116.41,  39.90,       63,    -9,    1,   -7,    4,   -1,   11,    7,   19,   13,   26,   18,   30,   21,   31,   20,   29,   14,   26,    7,   19,   -1,   10,   -7,    3,   203,   210,   232,   240,   255,   263,   210,   218,   225,   240,   195,   188
Cangzhou, China,                     116.84,  38.30,       13,    -7,    3,   -5,    5,    1,   12,    9,   21,   15,   27,   20,   31,   22,   31,   22,   30,   16,   27,    9,   20,    1,   11,   -5,    4,   189,   185,   229,   251,   275,   262,   220,   229,   235,   227,   187,   176
Changchun, China,                    125.32,  43.82,      222,   -19,  -10,  -15,   -4,   -6,    4,    3,   14,   10,   22,   16,   27,   19,   28,   18,   27,   11,   22,    3,   14,   -7,    2,  -16,   -7,   177,   200,   236,   238,   257,   245,   219,   235,   238,   211,   167,   155
Changsha, China,                     112.94,  28.23,       63,     3,    9,    5,   11,    9,   16,   15,   22,   19,   27,   23,   30,   26,   34,   25,   33,   21,   29,   16,   24,   10,   18,    5,   12,    64,    60,    79,   110,   138,   147,   234,   206,   149,   137,   117,   101
Chaoyang, China,                     120.45,  41.57,      170,   -16,   -2,  -13,    2,   -5,    9,    4,   19,   11,   25,   17,   29,   20,   30,   18,   29,   11,   25,    3,   18,   -5,    8,  -13,    0,   206,   208,   243,   249,   264,   243,   227,   236,   245,   236,   199,   191
Chengdu, China,                      104.07,  30.57,      500,     3,    9,    5,   12,    9,   17,   13,   23,   17,   27,   20,   28,   22,   30,   22,   30,   19,   26,   15,   21,   10,   16,    4,   11,    67,    59,    96,   114,   130,   128,   149,   163,    81,    65,    62,    60
Chifeng, China,                      118.89,  42.26,      586,   -16,   -3,  -13,    0,   -6,    7,    3,   17,   10,   23,   15,   28,   19,   29,   17,   28,   10,   23,    2,   16,   -7,    6,  -13,   -1,   205,   210,   254,   259,   281,   264,   254,   255,   251,   241,   201,   190
Chongqing, China,                    106.55,  29.56,      234,     5,    9,    7,   13,   11,   18,   16,   23,   19,   27,   22,   29,   24,   34,   25,   35,   22,   28,   16,   22,   12,   16,    8,   13,    45,    60,    75,   113,   135,   128,   210,   210,   120,    60,    45,    53
Dalian, China,                       121.61,  38.91,       29,    -7,    0,   -5,    1,    0,    7,    7,   15,   12,   20,   17,   24,   21,   27,   22,   27,   17,   24,   11,   18,    3,   10,   -4,    3,   198,   200,   239,   257,   278,   255,   221,   241,   252,   235,   182,   184
Datong, China,                       113.30,  40.08,     1042,   -17,   -3,  -13,    1,   -6,    8,    2,   17,    8,   23,   13,   27,   16,   28,   15,   26,    9,   22,    2,   15,   -7,    6,  -14,   -2,   184,   189,   222,   244,   273,   266,   245,   234,   235,   227,   186,   168
Dunhuang, China,                      94.66,  40.14,     1142,   -15,   -1,  -11,    5,   -3,   13,    4,   21,   10,   27,   14,   31,   16,   33,   15,   32,    9,   27,    1,   19,   -6,    8,  -12,    1,   219,   219,   255,   282,   320,   314,   319,   316,   296,   281,   230,   207
Fuzhou, China,                       119.30,  26.07,       13,     9,   16,    9,   16,   11,   19,   15,   24,   20,   27,   24,   31,   26,   35,   26,   34,   24,   31,   20,   27,   16,   23,   11,   18,    96,    79,    96,   110,   117,   135,   220,   187,   140,   142,   109,   112
Ganzhou, China,                      114.93,  25.83,      107,     5,   12,    7,   14,   11,   18,   17,   24,   21,   28,   24,   32,   26,   34,   25,   34,   23,   30,   18,   26,   12,   20,    7,   15,    88,    74,    72,   101,   138,   173,   261,   236,   182,   165,   147,   142
Guangzhou, China,                    113.26,  23.13,       10,    11,   18,   12,   19,   15,   22,   20,   26,   23,   30,   25,   32,   25,   33,   25,   33,   24,   32,   20,   29,   16,   25,   12,   21,   120,    90,    90,    90,   150,   150,   210,   210,   180,   180,   180,   150
Guilin, China,                       110.18,  25.23,      153,     5,   12,    7,   13,   10,   17,   16,   23,   20,   27,   23,   30,   25,   33,   25,   33,   22,   30,   17,   26,   12,   20,    7,   15,    67,    50,    52,    73,   110,   131,   199,   204,   193,   157,   134,   117
Guiyang, China,                      106.63,  26.65,     1275,     3,    9,    4,   11,    8,   16,   13,   21,   16,   24,   19,   26,   21,   28,   20,   29,   17,   25,   13,   21,    9,   16,    5,   12,    41,    47,    82,   104,   108,   104,   154,   167,   119,    91,    69,    62
Haikou, China,                       110.20,  20.04,        8,    16,   21,   17,   23,   20,   26,   23,   30,   25,   32,   26,   33,   26,   33,   26,   33,   25,   31,   23,   29,   21,   26,   17,   22,    98,    96,   125,   157,   207,   213,   237,   218,   181,   167,   128,   107
Hami, China,                          93.52,  42.82,      759,   -16,   -3,  -11,    4,   -3,   12,    6,   22,   12,   28,   17,   32,   19,   34,   17,   33,   11,   28,    3,   19,   -5,    8,  -13,   -2,   210,   220,   268,   288,   339,   330,   333,   323,   297,   271,   217,   190
Hangzhou, China,                     120.16,  30.27,       12,     2,    9,    4,   11,    7,   15,   13,   22,   18,   27,   22,   29,   26,   34,   25,   33,   21,   28,   16,   24,   10,   18,    4,   11,    98,    95,   120,   143,   160,   127,   210,   182,   138,   148,   123,   121
Hanzhong, China,                     107.02,  33.07,      511,    -1,    7,    2,   10,    6,   14,   11,   21,   15,   25,   19,   28,   22,   30,   21,   30,   17,   24,   12,   19,    6,   13,    1,    8,    88,    86,   106,   154,   174,   177,   194,   204,   122,   101,    83,    82
Harbin, China,                       126.54,  45.80,      168,   -25,  -13,  -22,   -8,  -11,    1,    0,   13,    7,   21,   14,   26,   18,   28,   16,   27,    9,   21,    0,   12,  -11,   -1,  -21,  -10,   156,   180,   231,   231,   264,   260,   254,   247,   231,   207,   170,   140
Hefei, China,                        117.23,  31.82,       37,     0,    7,    2,    9,    6,   14,   12,   21,   18,   27,   22,   29,   25,   32,   24,   32,   20,   28,   14,   23,    7,   16,    2,   10,   119,   114,   139,   168,   191,   166,   189,   191,   154,   154,   149,   136
Hohhot, China,                       111.75,  40.84,     1065,   -17,   -5,  -13,    0,   -6,    7,    2,   16,    8,   23,   13,   27,   16,   29,   15,   26,    8,   21,    1,   14,   -7,    4,  -14,   -3,   181,   198,   246,   269,   295,   291,   265,   255,   252,   245,   195,   171
Hong Kong, China,                    114.11,  22.40,       40,    13,   20,   13,   20,   16,   22,   20,   26,   24,   29,   26,   31,   26,   32,   26,   32,   25,   31,   22,   29,   18,   25,   14,   21,   143,   105,    90,   113,   150,   158,   210,   195,   195,   210,   188,   165
Hulunbuir, China,                    119.77,  49.21,      650,   -29,  -19,  -26,  -14,  -16,   -3,   -3,   10,    4,   18,   11,   24,   15,   26,   13,   24,    5,   18,   -4,    8,  -16,   -6,  -26,  -16,   167,   196,   244,   246,   298,   286,   280,   269,   219,   210,   165,   139
Ji'an, China,                        114.96,  27.09,       62,     4,   10,    6,   12,    9,   16,   15,   23,   20,   27,   23,   31,   26,   34,   25,   34,   22,   30,   17,   25,   11,   19,    5,   13,    76,    67,    71,    96,   131,   154,   248,   227,   165,   146,   130,   128
Jinan, China,                        117.12,  36.65,       23,    -4,    4,   -1,    8,    5,   14,   11,   22,   17,   27,   22,   32,   24,   32,   22,   31,   18,   27,   12,   21,    5,   13,   -2,    6,   158,   158,   200,   232,   255,   221,   184,   187,   183,   194,   160,   152
Jingdezhen, China,                   117.18,  29.27,       35,     2,   10,    4,   12,    8,   16,   13,   22,   18,   27,   22,   30,   25,   34,   24,   34,   20,   30,   15,   25,    9,   19,    3,   13,   100,    90,    91,   117,   150,   151,   227,   228,   181,   170,   148,   145
Jinzhou, China,                      121.13,  41.10,       24,   -13,   -2,   -9,    1,   -3,    8,    5,   17,   12,   23,   17,   27,   21,   29,   20,   28,   14,   25,    6,   17,   -3,    8,  -10,    0,   199,   203,   239,   247,   261,   235,   205,   228,   250,   233,   197,   187
Jiuquan, China,                       98.49,  39.73,     1483,   -15,   -2,  -11,    2,   -4,    9,    3,   17,    8,   23,   13,   27,   15,   29,   13,   28,    8,   23,    1,   15,   -6,    7,  -13,    0,   219,   212,   241,   259,   293,   283,   279,   277,   268,   265,   227,   209
Jixi, China,                         130.97,  45.30,      230,   -20,  -11,  -16,   -6,   -9,    2,    1,   13,    8,   20,   14,   25,   17,   27,   16,   26,    9,   21,    1,   12,   -9,    0,  -17,   -9,   181,   198,   244,   232,   254,   239,   236,   227,   221,   207,   173,   151
Kashgar, China,                       75.99,  39.47,     1270,   -10,    0,   -6,    5,    2,   14,    9,   22,   13,   26,   16,   30,   19,   32,   17,   31,   12,   27,    5,   20,   -2,   11,   -8,    2,   155,   160,   185,   214,   256,   304,   312,   288,   259,   240,   196,   158
Kunming, China,                      102.83,  24.88,     1892,     4,   16,    6,   19,    9,   21,   12,   24,   15,   25,   17,   25,   18,   25,   17,   25,   15,   23,   13,   21,    8,   18,    5,   16,   232,   231,   266,   254,   225,   142,   142,   161,   138,   153,   180,   205
Lanzhou, China,                      103.83,  36.06,     1518,   -15,    1,  -10,    6,   -3,   13,    3,   20,    8,   24,   12,   27,   14,   29,   14,   28,    9,   22,    2,   17,   -6,    9,  -13,    2,   175,   187,   207,   227,   251,   247,   246,   247,   190,   194,   182,   169
Lhasa, China,                         91.17,  29.65,     3657,   -10,    7,   -7,    9,   -3,   12,    1,   16,    5,   19,    9,   23,   10,   22,    9,   21,    8,   20,    1,   16,   -5,   11,   -9,    8,   251,   227,   246,   249,   277,   257,   227,   220,   229,   282,   267,   259
Lishui, China,                       119.92,  28.47,       74,     3,   12,    5,   14,    9,   18,   14,   24,   19,   28,   22,   31,   25,   35,   25,   35,   21,   30,   16,   25,   10,   20,    4,   14,    91,    83,    96,   123,   140,   134,   223,   206,   148,   142,   116,   122
Macau, China,                        113.54,  22.20,       20,    13,   18,   14,   19,   16,   21,   20,   25,   24,   28,   26,   30,   26,   32,   26,   32,   25,   30,   23,   28,   18,   24,   14,   20,   127,    79,    72,    85,   136,   155,   223,   195,   177,   192,   172,   159
Mudanjiang, China,                   129.63,  44.55,      233,   -23,  -11,  -19,   -6,  -10,    3,    0,   14,    7,   21,   13,   25,   17,   28,   16,   27,    9,   21,    0,   13,  -10,    1,  -19,   -8,   162,   180,   228,   218,   237,   221,   216,   208,   207,   196,   157,   137
Nanchang, China,                     115.86,  28.68,       37,     3,    9,    5,   11,    9,   15,   15,   22,   20,   27,   23,   30,   26,   34,   26,   33,   22,   29,   17,   24,   11,   18,    5,   12,    89,    83,    94,   125,   161,   160,   249,   233,   190,   168,   143,   138
Nanchong, China,                     106.11,  30.84,      340,     4,    9,    6,   12,   10,   16,   14,   22,   18,   27,   22,   29,   24,   32,   24,   32,   20,   27,   15,   21,   11,   16,    6,   11,    32,    44,    82,   118,   131,   123,   169,   194,    97,    68,    53,    27
Nanjing, China,                      118.80,  32.06,       12,    -2,    6,    0,    8,    4,   14,   10,   20,   16,   25,   20,   29,   24,   32,   24,   32,   19,   28,   13,   22,    7,   16,    1,    9,   133,   117,   150,   153,   198,   192,   224,   225,   183,   184,   143,   124
Nanning, China,                      108.37,  22.82,      126,    10,   17,   12,   19,   15,   22,   20,   27,   23,   31,   25,   32,   25,   33,   25,   33,   23,   32,   20,   29,   15,   25,   11,   20,    65,    57,    55,    94,   137,   146,   181,   182,   173,   160,   134,   113
Nanping, China,                      118.18,  26.64,       89,     7,   15,    8,   16,   11,   19,   16,   24,   20,   28,   23,   31,   25,   35,   24,   34,   22,   31,   18,   27,   12,   21,    7,   17,    96,    82,    89,   111,   130,   156,   241,   224,   175,   157,   132,   127
Ningbo, China,                       121.54,  29.87,      150,     2,    9,    3,   10,    6,   14,   11,   20,   17,   25,   21,   28,   25,   33,   25,   32,   21,   28,   15,   23,    9,   18,    4,   12,   124,   108,   122,   142,   157,   148,   244,   238,   172,   167,   143,   146
Pingliang, China,                    106.67,  35.54,     1398,    -9,    2,   -6,    5,   -1,   10,    4,   18,    9,   22,   13,   26,   16,   27,   15,   26,   10,   21,    4,   15,   -2,    9,   -8,    4,   193,   165,   178,   212,   238,   233,   230,   217,   169,   173,   180,   195
Pu'er, China,                        100.97,  22.83,     1306,     8,   21,    9,   23,   12,   26,   15,   29,   18,   28,   20,   28,   20,   27,   20,   27,   19,   26,   17,   25,   13,   22,    9,   20,   226,   222,   237,   220,   188,   120,    98,   113,   127,   150,   149,   187
Qingdao, China,                      120.38,  36.07,       77,    -3,    3,   -2,    5,    2,    9,    8,   15,   13,   20,   18,   24,   22,   27,   23,   28,   19,   25,   13,   20,    6,   12,   -1,    6,   185,   180,   222,   224,   245,   219,   183,   223,   220,   220,   189,   182
Qinzhou, China,                      108.65,  21.98,       12,    11,   18,   12,   18,   16,   22,   20,   26,   24,   30,   25,   31,   26,   32,   25,   32,   24,   31,   21,   28,   16,   25,   12,   21,    79,    56,    67,   100,   170,   174,   204,   186,   200,   185,   162,   138
Qiqihar, China,                      123.92,  47.35,      147,   -24,  -12,  -19,   -7,  -10,    3,    0,   13,    8,   21,   15,   26,   19,   28,   17,   26,    9,   20,    0,   11,  -11,   -1,  -20,  -10,   191,   209,   260,   249,   283,   282,   269,   272,   247,   228,   185,   165
Quzhou, China,                       118.86,  28.97,       77,     2,    9,    4,   11,    8,   15,   13,   22,   18,   26,   22,   29,   25,   34,   25,   33,   21,   29,   15,   24,    9,   18,    4,   13,   101,    90,    93,   118,   146,   150,   238,   240,   182,   166,   145,   142
Shanghai, China,                     121.47,  31.23,        6,     2,    8,    2,   10,    5,   13,   12,   20,   17,   24,   22,   28,   26,   32,   26,   31,   22,   28,   15,   22,    9,   17,    2,   11,   114,   120,   129,   149,   170,   131,   191,   186,   168,   161,   131,   127
Shantou, China,                      116.68,  23.35,       51,    11,   18,   12,   18,   14,   20,   18,   24,   22,   27,   25,   30,   26,   32,   26,   32,   24,   30,   21,   28,   16,   24,   12,   20,   143,    96,   102,   113,   135,   171,   240,   219,   201,   208,   181,   172
Shaoguan, China,                     113.60,  24.81,       59,     7,   15,    9,   16,   13,   19,   18,   25,   22,   29,   24,   32,   26,   34,   25,   34,   23,   32,   19,   28,   13,   23,    8,   18,    90,    68,    58,    76,   114,   151,   227,   207,   178,   164,   147,   141
Shaoxing, China,                     120.59,  30.00,       21,     2,    8,    3,   10,    7,   15,   12,   21,   18,   26,   22,   29,   26,   34,   25,   32,   21,   28,   15,   23,    9,   17,    3,   11,   107,   101,   119,   146,   166,   149,   232,   217,   156,   147,   124,   128
Shenyang, China,                     123.43,  41.81,       55,   -17,   -5,  -12,    0,   -4,    7,    4,   17,   12,   24,   17,   27,   21,   29,   19,   29,   12,   24,    4,   16,   -5,    6,  -13,   -2,   166,   186,   222,   226,   248,   220,   193,   211,   223,   207,   157,   148
Shijiazhuang, China,                 114.51,  38.04,       83,    -5,    4,   -2,    8,    4,   14,   10,   22,   16,   28,   21,   32,   23,   32,   22,   31,   17,   27,   10,   21,    2,   12,   -3,    5,   143,   153,   193,   225,   246,   210,   176,   186,   184,   180,   158,   138
Siping, China,                       124.35,  43.17,      164,   -18,   -7,  -15,   -3,   -6,    5,    3,   15,   10,   22,   16,   27,   20,   28,   18,   27,   11,   22,    2,   14,   -7,    4,  -15,   -5,   204,   209,   249,   246,   264,   246,   212,   223,   241,   226,   183,   181
Suzhou, China,                       120.59,  31.30,        6,     1,    8,    2,    9,    5,   13,   11,   19,   16,   24,   20,   27,   25,   32,   25,   32,   21,   27,   15,   22,    9,   17,    2,   11,   136,   119,   140,   153,   174,   162,   233,   242,   162,   161,   150,   149
Taiyuan, China,                      112.55,  37.87,      800,   -10,    2,   -7,    6,   -1,   13,    6,   20,   12,   26,   16,   29,   19,   30,   17,   28,   12,   24,    5,   18,   -2,   10,   -8,    3,   166,   168,   207,   236,   260,   237,   227,   220,   198,   203,   169,   158
Tianjin, China,                      117.20,  39.08,        8,    -9,    2,   -7,    4,   -1,   11,    7,   20,   13,   26,   18,   30,   22,   31,   20,   30,   14,   26,    7,   19,    0,   10,   -7,    3,   178,   177,   205,   230,   266,   251,   218,   223,   223,   211,   173,   166
Tianshui, China,                     105.73,  34.58,     1171,    -6,    4,   -3,    7,    2,   12,    7,   19,   11,   24,   15,   27,   18,   29,   17,   28,   13,   22,    7,   17,    1,   11,   -5,    5,   144,   128,   142,   182,   202,   190,   196,   193,   125,   124,   133,   151
Tongliao, China,                     122.24,  43.65,      179,   -18,   -7,  -14,   -2,   -7,    6,    3,   16,   10,   23,   16,   28,   19,   29,   18,   28,   11,   24,    2,   15,   -8,    4,  -15,   -5,   225,   225,   273,   272,   293,   284,   267,   273,   268,   251,   216,   206
Turpan, China,                        89.19,  42.95,       30,   -10,   -2,   -4,    7,    5,   17,   13,   27,   19,   34,   24,   38,   26,   40,   24,   39,   18,   32,    9,   22,    0,   10,   -8,    0,   125,   171,   232,   260,   308,   303,   306,   305,   273,   236,   160,   103
Urumqi, China,                        87.62,  43.83,      915,   -22,  -11,  -19,   -8,  -11,   -1,    2,   16,    8,   22,   12,   26,   14,   28,   13,   27,    8,   21,   -1,   10,  -11,   -1,  -13,   -8,   181,   157,   188,   203,   287,   271,   270,   259,   263,   206,   144,   141
Weifang, China,                      119.16,  36.71,       32,    -7,    3,   -5,    6,    0,   12,    7,   20,   12,   26,   18,   30,   22,   31,   21,   30,   15,   27,    9,   21,    2,   13,   -5,    6,   176,   176,   216,   242,   268,   242,   209,   221,   223,   212,   180,   173
Wenzhou, China,                      120.70,  27.99,        9,     5,   12,    6,   12,    9,   15,   13,   21,   18,   25,   22,   28,   25,   32,   25,   32,   22,   29,   17,   25,   12,   20,    7,   15,   113,    91,    96,   120,   122,   127,   215,   213,   166,   157,   138,   148
Wuhan, China,                        114.31,  30.59,       25,    -1,    8,    1,   10,    6,   15,   12,   21,   18,   26,   22,   30,   25,   33,   25,   33,   19,   28,   13,   23,    7,   16,    2,   11,   107,   103,   116,   151,   181,   180,   232,   241,   177,   161,   144,   137
Xi'an, China,                        108.94,  34.34,      424,    -4,    5,    0,    9,    6,   16,   11,   23,   16,   28,   21,   32,   23,   33,   22,   30,   17,   25,   12,   20,    5,   13,   -2,    7,   117,    93,   170,   199,   204,   205,   198,   168,   125,   130,   128,   138
Xiamen, China,                       118.09,  24.48,       18,    10,   17,   10,   17,   12,   19,   16,   23,   20,   27,   23,   30,   25,   32,   25,   32,   23,   30,   20,   27,   16,   24,   12,   19,   133,    88,    90,   106,   133,   164,   235,   212,   179,   188,   163,   164
Xiangyang, China,                    112.12,  32.01,       71,    -1,    8,    1,   10,    5,   15,   11,   22,   16,   27,   21,   31,   24,   32,   23,   32,   18,   27,   12,   22,    6,   16,    1,   10,   105,   105,   124,   159,   180,   180,   184,   188,   140,   144,   130,   122
Xining, China,                       101.78,  36.62,     2275,   -14,    1,  -10,    4,   -4,   10,    2,   16,    6,   20,   10,   23,   12,   25,   11,   24,    8,   19,    2,   14,   -6,    8,  -12,    3,   210,   205,   223,   241,   254,   237,   244,   244,   197,   208,   213,   201
Xuzhou, China,                       117.28,  34.21,       37,    -3,    5,   -1,    8,    3,   13,   10,   21,   15,   26,   20,   30,   24,   31,   23,   31,   17,   27,   11,   22,    4,   14,   -2,    8,   145,   148,   177,   211,   233,   219,   192,   203,   188,   191,   164,   152
Yan'an, China,                       109.49,  36.59,      975,   -11,    2,   -7,    6,   -1,   12,    5,   20,   11,   25,   15,   29,   18,   30,   17,   28,   11,   23,    5,   18,   -2,   10,   -9,    4,   194,   173,   194,   221,   247,   240,   222,   213,   183,   190,   185,   186
Yanbian, China,                      129.47,  42.91,      500,   -19,   -7,  -15,   -2,   -8,    6,    0,   15,    7,   21,   13,   24,   17,   27,   17,   27,   10,   22,    1,   15,   -8,    4,  -16,   -4,   170,   183,   225,   213,   234,   190,   181,   188,   198,   200,   158,   141
Yichang, China,                      111.29,  30.69,       58,     2,    9,    4,   11,    7,   15,   13,   22,   18,   27,   22,   30,   24,   32,   24,   32,   20,   28,   15,   23,    9,   17,    4,   11,    77,    79,    97,   133,   154,   153,   186,   201,   144,   133,   114,    97
Yinchuan, China,                     106.23,  38.49,     1100,   -12,    0,   -8,    5,   -2,   12,    5,   20,   11,   25,   16,   29,   18,   30,   17,   28,   11,   24,    4,   17,   -3,    8,  -10,    1,   182,   188,   225,   247,   283,   280,   281,   260,   224,   228,   196,   180
Yining, China,                        81.53,  43.98,      666,   -15,   -2,  -12,    0,   -3,    9,    6,   20,   10,   25,   14,   29,   16,   31,   14,   30,    9,   26,    3,   18,   -3,    9,  -10,    1,   160,   171,   214,   252,   292,   300,   327,   316,   275,   214,   169,   146
Yulin, China,                        109.73,  38.29,     1084,   -16,   -1,  -11,    3,   -4,   10,    3,   18,    9,   24,   14,   28,   17,   30,   16,   28,   10,   23,    3,   16,   -5,    8,  -13,    1,   198,   188,   220,   245,   282,   279,   270,   252,   233,   226,   199,   187
Zhengzhou, China,                    113.63,  34.75,      111,    -3,    6,   -1,    9,    4,   15,   10,   22,   16,   28,   21,   32,   24,   32,   22,   31,   17,   27,   11,   22,    4,   14,   -1,    8,   124,   125,   166,   197,   214,   201,   170,   170,   154,   160,   144,   130
Zhoushan, China,                     122.21,  29.99,       10,     3,    9,    4,   10,    6,   13,   11,   19,   16,   23,   20,   26,   24,   31,   25,   31,   21,   27,   17,   23,   11,   18,    6,   13,   122,   115,   124,   155,   170,   148,   240,   226,   175,   165,   147,   150
Larnaca, Cyprus,                      33.62,  34.90,       26,     8,   17,    7,   17,    9,   19,   12,   23,   16,   27,   20,   30,   22,   32,   23,   33,   20,   31,   17,   28,   13,   23,    9,   18,   195,   209,   239,   267,   332,   378,   388,   366,   312,   276,   216,   180
Limassol, Cyprus,                     33.04,  34.68,       80,    8.8, 17.6,  8.5, 17.8, 10.4, 20.0, 13.1, 22.9, 16.7, 26.9, 20.1, 30.8, 22.4, 33.2, 22.7, 33.3, 20.6, 31.3, 17.7, 28.6, 13.5, 23.5, 10.1, 18.9,195.3, 211.7, 244.9, 270.0, 344.1, 381.0, 390.6, 365.8, 315.0, 285.2, 225.0, 186.0
Nicosia, Cyprus,                      33.38,  35.19,      220,     6,   16,    5,   16,    7,   19,   10,   24,   15,   30,   19,   34,   22,   37,   22,   37,   19,   34,   16,   29,   10,   22,    7,   17,   183,   200,   239,   267,   332,   369,   388,   366,   312,   276,   213,   171
Paphos, Cyprus,                       32.42,  34.78,       75,    8.0, 17.0,  7.6, 16.9,  8.7, 18.5, 11.3, 21.3, 14.5, 24.4, 17.8, 27.7, 20.4, 29.9, 21.0, 30.4, 18.8, 28.8, 16.4, 26.6, 12.6, 22.4,  9.7, 18.6,195.3, 211.7, 244.9, 270.0, 344.1, 381.0, 390.6, 365.8, 315.0, 285.2, 225.0, 186.0
